605f01e3acd7788ff35b858db0c9635a65074982b4054d46fc8a033ecdf973be,fd93fe6bf7285677c05abfed285e321a3b27e7dde41cdc547df87ce356d06f10,8ad059cedd2f507b82ef2a97e1105c2684eb6414d17bfb52ab85cb220e60a654,d8e008cfd3283fd4b6449d54b18ec17b6a39e9959f3d7b022e286e26e71d00e2,f339e422d7ea70699f501e465c90ead7bb10c1a68e65669e1b8842f700c833ad,a16a455b448de885540aa2ea49d48eeab03b36d49485b2a91078183741441b74,d583851b6834dfd120da07c5fba011af5fedcb83729be3cdbf8cddaa43b8e17e,0b1b15a4ebebf53150c35962ceb921005306284864a9f6988a94506fefa3be81,b9fdadf21535b4f647d44009312ec7682eaf699c8b02f6e5d0e76002cec5c115,bc4e72468bc322c8b63c2f74cf78d9d07e9ef9b7fd7f6411c1f0c5831f72e938,c9d76714c61eeebf4bde17432790d48271c0e6b753d190da2f2441cd9a2b3449,3b96728f80bba575c23f6da7382088a7988442f1b86aaed541b57a596107dfd4,3db3c6a6795f610e683d1020287866240a298adfc9b38d3887bed24cf5e9690f,f0854271bb6b21923d27f1a5bb0dd456bc4acd66ce66da1b5898ff394999e65b,41fda5a09978b34400c7a6ac7961c22f85e445dd6e6275a603afccf57308b82b,d9ed58eb002c1185b8294c10b688bc7008e8cc98af0f3b8a1e409f67819ed150,a427db6a6663fb886f94f72cb65529159ab85af1f6188b068d9fce0c8a7f2f00,0504e8aeb28294ea59125874628b56b2bc9274f41dc029f10f7eff85d09b9cdf,1f6187846d9b52fb9e918c619fc6eca6565c3be3b28df9ee8675db4fc9dea09a
"0","10010","610010401","5","0","0","5010321","0","610010004","2","","1.5","0","90","0","0","0","0","1"
"0","10010","610010402","5","108","0","5010322","0","610010005","3","","1.5","0","90","0","0","0","0","2"
"0","10010","0","5","0","0","0","0","610010006","1","","1.5","0","90","0","0","0","0","3"
"70","10011","0","5","0","0","5011322","0","610011004","1","","1.5","0","90","0","5011321","0","0","1"
"40","10011","0","5","0","0","5011323","0","610011005","1","","1.5","0","90","0","0","0","0","2"
"0","10011","0","5","0","0","0","0","610011006","1","","1.5","0","90","0","0","0","0","3"
"0","10012","610012401","5","0","0","5012321","3","610012004","2","","1.5","0","90","600","0","1","0","1"
"51","10012","0","5","0","0","5012322","0","610012005","1","","1.5","0","90","0","0","1","0","2"
"0","10012","0","5","0","0","0","0","610012006","1","","1.5","0","90","0","0","1","0","3"
"0","10013","610013401","5","0","0","5013321","3","610013004","2","","1.5","50","90","600","0","1","0.9","1"
"50","10013","0","5","0","0","5013322","0","610013005","1","","1.5","84","90","0","0","0","1","2"
"0","10013","0","5","0","0","0","0","610013006","1","","1.5","84","90","0","0","0","1","3"
"0","10015","610015401","5","0","0","5015321","3","610015004","2","","1.5","1","90","600","0","1","0.9","1"
"50","10015","0","5","0","0","5015322","0","610015005","1","","1.5","-50","90","0","0","1","1.3","2"
"0","10015","0","5","0","0","0","0","610015006","1","","1.5","-50","90","0","0","1","1.3","3"
"0","10017","610017401","5","0","0","5017321","3","610017004","2","","1.5","50","90","600","0","1","0.9","1"
"50","10017","0","5","0","0","5017322","0","610017005","1","","1.5","84","90","0","0","1","1","2"
"0","10017","0","5","0","0","0","0","610017006","1","","1.5","84","90","0","0","1","1","3"
"0","10019","610019401","5","200","0","5019322","0","610019004","4","","1.5","-50","90","0","5019321","1","1.25","1"
"50","10019","0","5","0","0","5019323","0","610019005","1","","1.5","-50","90","0","0","1","1.25","2"
"0","10019","0","5","0","0","0","0","610019006","1","","1.5","-50","90","0","0","1","1.25","3"
"60","10021","0","5","0","0","5021322","0","610021004","1","","1.5","0","90","0","5021321","1","1","1"
"0","10021","0","5","30","0","5021323","0","610021005","3","","1.5","0","90","0","0","1","1","2"
"0","10021","0","5","0","0","0","0","610021006","1","","1.5","0","90","0","0","1","1","3"
