f494b50f10491fc4da6c6333cff0458aee65075b62d7463881f90c8e8d4f2800,5c0118f06246f2267174bb69529a016a2794f55612a9ddd41a9c1d04f87b209c,0d45cdc1070aac699b255ac7d4b71853a89814221a4a7e0a413a9849f5689357,fd17fa7dda436adf1054d32fb740ddf3afb47cfb7d04f2136fb0209faff55b11,ea528699b075958a850c47ae47a43de17fcb40f9bf5c6cdfa52aaca45fa8274d,e3a31d20e31b17948f47addde8713524af45d0356b098f0d05332f6738cb8904,ad5731a402bc81cbfbffedd3f85530758afd85c4c0f5bb7454a97074af2cf5b0,7c16f1d0411b88cc7028c77947f398e3ec5dbfeef46d52da563658ec05dd8ec2,9dc0f4fe2d21518b98ac2600059ee670b5ceee0db69d4b7ed4be5f99229d5e9e,1ac4ad831fe719fc4d0bbecbda4046fdb1541c85c2e1043574f0806be7a8531d
"2","1000","vo_minigame_1013_icon_2_002_001","2","狀態逐漸\n變好了呢。","2","1","3000","訓練現在\n才要開始。","vo_minigame_1013_icon_1_002_001"
"2","5000","vo_minigame_1013_icon_2_003_001","2","喂喂，\n還能繼續的吧？","2","2","3000","嘻嘻，局勢\n發展得不錯。","vo_minigame_1013_icon_1_003_001"
"3","10000","vo_minigame_1013_icon_2_004_001","2","嘿嘿，你們\n挺行的嘛！","2","3","3000","這是出色的\n紀錄。","vo_minigame_1013_icon_1_004_001"
"3","10000","vo_minigame_1013_icon_2_005_001","2","我們還不能\n止步於此！","3","4","3000","現在狀態\n絕佳呢。","vo_minigame_1013_icon_1_005_001"
"3","10000","vo_minigame_1013_icon_2_005_002","2","看著吧！\n真琴班過關斬將！","3","5","3000","還能繼續前進。\n給我跟上。","vo_minigame_1013_icon_1_005_002"
"3","10000","vo_minigame_1013_icon_2_005_003","2","唔哦哦哦！\n狀態絕佳！","3","6","3000","惠理子班\n發揮真本事！","vo_minigame_1013_icon_1_005_003"
"3","0","vo_minigame_1013_icon_2_006_001","2","能前進到什麼地方\n真讓人期待！","4","7","3000","接下來是\n前無古人的領域！","vo_minigame_1013_icon_1_006_001"
"4","1","vo_minigame_1013_icon_2_007_001","3","還不能放棄。","5","8","1000","真是棘手……","vo_minigame_1013_icon_1_007_001"
"4","1","vo_minigame_1013_icon_2_007_002","3","捏了把冷汗啊……！","5","9","1000","不可輕敵。","vo_minigame_1013_icon_1_007_002"
"4","1","vo_minigame_1013_icon_2_007_003","3","不准說喪氣話。","5","10","1000","真是可恨……","vo_minigame_1013_icon_1_007_003"
"3","99","vo_minigame_1013_icon_2_008_001","4","真琴班集合！","6","11","1500","人多勢眾呢。","vo_minigame_1013_icon_1_008_001"
"3","99","vo_minigame_1013_icon_2_008_002","4","齊心協力上吧！","6","12","1500","歡迎來到惠理子班。","vo_minigame_1013_icon_1_008_002"
"6","0","vo_minigame_1013_icon_2_020_001","1","賦予大家力量！","8","13","3000","儘管包在\n小七七香身上。","vo_minigame_1013_icon_1_020_001"
"7","0","vo_minigame_1013_icon_2_022_001","1","包在我身上。","9","14","3000","哈哈哈！\n交給我吧！","vo_minigame_1013_icon_1_022_001"
"8","0","vo_minigame_1013_icon_2_023_001","1","好哪，繼續前進吧。","10","15","3000","繼續前進囉。","vo_minigame_1013_icon_1_023_001"
