4f6c11ce4ac25f2c2f93b5d83e52254e92061907cf3f6118ee7ffe920ccd40a8,c5ce8c2906e1ce93ed4e5db2e108a6c10347fedf5a5806319e41289c7c05a24c,2ce00d9bef90931803ac3ee5217365594f901b346fe4eb42a8f6f3b5075bc25e,74e4920418f9daaf9267ce32c91e950d7803b22a08f04aa24cf1ee2fbe1820cd,843a33d1aa079325eff08302c8defcbf0aaa233df46c662596ec5e71e8c8f212
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","75000001","傷害值衰減","500000101"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","75000001","賦予TP上升的上限","500000102"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","75000001","提升物理防禦力（不可降低）","500000103"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","75000001","提升魔法防禦力（不可降低）","500000104"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","75000001","降低HP吸收","500000105"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","75000001","減少降低TP","500000106"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","75000002","傷害值衰減","500000201"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","75000002","賦予TP上升的上限","500000202"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","75000002","提升物理防禦力（不可降低）","500000203"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","75000002","提升魔法防禦力（不可降低）","500000204"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","75000002","降低HP吸收","500000205"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","75000002","減少降低TP","500000206"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","75000003","傷害值衰減","500000301"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","75000003","賦予TP上升的上限","500000302"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","75000003","提升物理防禦力（不可降低）","500000303"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","75000003","提升魔法防禦力（不可降低）","500000304"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","9","75000003","降低HP吸收","500000305"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","75000003","減少降低TP","500000306"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","75000004","傷害值衰減","500000401"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","75000004","賦予TP上升的上限","500000402"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","75000004","提升物理防禦力（不可降低）","500000403"
